Rank,Team,2022,Last 3,Last 1,Home,Away,2021,More
212,Quinnipiac,12.7,9.3,8.0,13.1,12.5,12.9,https://www.teamrankings.com/ncaa-basketball/team/quinnipiac-bobcats
214,Arkansas,12.7,10.7,10.0,12.6,12.9,12.2,https://www.teamrankings.com/ncaa-basketball/team/arkansas-razorbacks
215,IL-Chicago,12.7,10.7,7.0,13.4,12.2,12.0,https://www.teamrankings.com/ncaa-basketball/team/illinois-chicago-flames
215,Valparaiso,12.7,14.7,19.0,12.1,13.2,11.2,https://www.teamrankings.com/ncaa-basketball/team/valparaiso-beacons
217,St Josephs,12.8,10.7,13.0,13.1,12.5,13.5,https://www.teamrankings.com/ncaa-basketball/team/saint-josephs-hawks
218,Loyola Mymt,12.8,10.7,13.0,13.1,12.4,13.0,https://www.teamrankings.com/ncaa-basketball/team/loyola-marymount-lions
219,CS Bakersfld,12.8,11.7,13.0,12.2,13.2,11.6,https://www.teamrankings.com/ncaa-basketball/team/csu-bakersfield-roadrunners
219,Weber St,12.8,12.0,15.0,12.1,13.1,11.6,https://www.teamrankings.com/ncaa-basketball/team/weber-st-wildcats
221,W Michigan,12.8,10.3,8.0,13.0,12.6,13.6,https://www.teamrankings.com/ncaa-basketball/team/western-michigan-broncos
222,Troy,12.8,8.7,10.0,13.6,12.3,15.2,https://www.teamrankings.com/ncaa-basketball/team/troy-trojans
223,Stony Brook,12.8,14.0,12.0,12.0,13.3,10.7,https://www.teamrankings.com/ncaa-basketball/team/stony-brook-seawolves
224,Cal St Nrdge,12.9,13.7,15.0,13.5,12.4,12.3,https://www.teamrankings.com/ncaa-basketball/team/csu-northridge-matadors
225,Portland,12.9,10.7,7.0,11.7,14.0,13.1,https://www.teamrankings.com/ncaa-basketball/team/portland-pilots
226,Rice,12.9,12.3,5.0,12.8,12.9,12.7,https://www.teamrankings.com/ncaa-basketball/team/rice-owls
227,Miss State,12.9,15.3,14.0,11.8,14.0,13.1,https://www.teamrankings.com/ncaa-basketball/team/mississippi-state-bulldogs
228,Connecticut,12.9,12.0,13.0,12.4,13.3,11.8,https://www.teamrankings.com/ncaa-basketball/team/connecticut-huskies
229,TX A&M-Com,12.9,12.0,8.0,11.3,13.5,18.5,https://www.teamrankings.com/ncaa-basketball/team/texas-am-commerce-lions
229,S Methodist,12.9,14.3,14.0,12.8,13.0,12.3,https://www.teamrankings.com/ncaa-basketball/team/southern-methodist-mustangs
231,Illinois,12.9,13.0,17.0,12.6,13.2,12.4,https://www.teamrankings.com/ncaa-basketball/team/illinois-fighting-illini
232,Minnesota,12.9,13.7,15.0,12.5,13.5,9.2,https://www.teamrankings.com/ncaa-basketball/team/minnesota-golden-gophers
233,DePaul,12.9,12.3,14.0,13.0,12.9,12.3,https://www.teamrankings.com/ncaa-basketball/team/depaul-blue-demons
233,Iowa St,12.9,14.7,8.0,11.7,14.1,13.8,https://www.teamrankings.com/ncaa-basketball/team/iowa-state-cyclones
235,W Virginia,12.9,11.3,12.0,12.0,13.9,12.4,https://www.teamrankings.com/ncaa-basketball/team/west-virginia-mountaineers
236,N Mex State,13.0,13.0,11.0,14.1,12.4,14.2,https://www.teamrankings.com/ncaa-basketball/team/new-mexico-st-aggies
237,U Penn,13.0,11.3,9.0,12.4,13.5,11.8,https://www.teamrankings.com/ncaa-basketball/team/pennsylvania-quakers
238,Beth-Cook,13.0,12.3,13.0,11.3,13.9,13.4,https://www.teamrankings.com/ncaa-basketball/team/bethune-cookman-wildcats
238,E Tenn St,13.0,10.3,8.0,13.4,12.6,11.2,https://www.teamrankings.com/ncaa-basketball/team/east-tennessee-st-buccaneers
238,Alabama St,13.0,15.7,16.0,13.7,12.7,15.4,https://www.teamrankings.com/ncaa-basketball/team/alabama-st-hornets
241,SE Missouri,13.0,11.0,12.0,11.6,13.6,13.1,https://www.teamrankings.com/ncaa-basketball/team/se-missouri-st-redhawks
242,California,13.0,11.0,11.0,13.2,12.8,11.2,https://www.teamrankings.com/ncaa-basketball/team/california-golden-bears
243,Army,13.0,10.7,16.0,11.8,13.9,13.2,https://www.teamrankings.com/ncaa-basketball/team/army-black-knights
243,Middle Tenn,13.0,11.3,8.0,11.9,13.7,13.1,https://www.teamrankings.com/ncaa-basketball/team/middle-tennessee-st-blue-raiders
245,S Indiana,13.0,11.0,9.0,12.1,13.6,--,https://www.teamrankings.com/ncaa-basketball/team/southern-indiana-screaming-eagles
246,Albany,13.0,13.3,16.0,12.6,13.3,12.4,https://www.teamrankings.com/ncaa-basketball/team/albany-great-danes
246,VMI,13.0,6.7,3.0,13.1,13.0,11.8,https://www.teamrankings.com/ncaa-basketball/team/vmi-keydets
248,Kansas City,13.1,12.0,10.0,12.0,13.8,10.7,https://www.teamrankings.com/ncaa-basketball/team/kansas-city-roos
249,Binghamton,13.1,11.3,13.0,12.3,13.7,12.7,https://www.teamrankings.com/ncaa-basketball/team/binghamton-bearcats
250,SC Upstate,13.1,8.3,7.0,13.7,12.7,13.1,https://www.teamrankings.com/ncaa-basketball/team/south-carolina-upstate-spartans
251,Siena,13.1,10.0,10.0,12.3,13.7,12.6,https://www.teamrankings.com/ncaa-basketball/team/siena-saints
252,Rob Morris,13.1,10.0,15.0,13.2,13.1,14.2,https://www.teamrankings.com/ncaa-basketball/team/robert-morris-colonials
253,Sam Hous St,13.1,9.0,9.0,14.2,12.7,12.2,https://www.teamrankings.com/ncaa-basketball/team/sam-houston-st-bearkats
253,SIU Edward,13.1,11.3,11.0,13.3,13.1,15.3,https://www.teamrankings.com/ncaa-basketball/team/siu-edwardsville-cougars
255,S Carolina,13.2,13.3,10.0,12.1,14.1,15.5,https://www.teamrankings.com/ncaa-basketball/team/south-carolina-gamecocks
256,E Carolina,13.2,14.3,17.0,12.1,14.2,13.0,https://www.teamrankings.com/ncaa-basketball/team/east-carolina-pirates
257,Gard-Webb,13.2,16.3,17.0,12.1,13.9,13.7,https://www.teamrankings.com/ncaa-basketball/team/gardner-webb-runnin-bulldogs
257,AR Lit Rock,13.2,15.0,15.0,12.5,13.6,13.8,https://www.teamrankings.com/ncaa-basketball/team/little-rock-trojans
259,Georgia,13.2,13.0,11.0,13.5,12.9,14.4,https://www.teamrankings.com/ncaa-basketball/team/georgia-bulldogs
260,Colorado,13.2,12.3,12.0,11.9,14.6,13.5,https://www.teamrankings.com/ncaa-basketball/team/colorado-buffaloes
261,Tulsa,13.2,13.0,11.0,14.1,12.4,12.8,https://www.teamrankings.com/ncaa-basketball/team/tulsa-golden-hurricane
262,Georgia St,13.3,10.0,8.0,13.4,13.0,11.5,https://www.teamrankings.com/ncaa-basketball/team/georgia-st-panthers
262,Sacred Hrt,13.3,13.0,18.0,12.4,13.9,13.6,https://www.teamrankings.com/ncaa-basketball/team/sacred-heart-pioneers
264,UCF,13.3,15.7,13.0,12.3,14.3,13.0,https://www.teamrankings.com/ncaa-basketball/team/central-florida-knights
265,Brown,13.3,12.0,14.0,12.6,13.9,13.2,https://www.teamrankings.com/ncaa-basketball/team/brown-bears
266,Central Ark,13.3,14.0,12.0,12.2,14.1,13.9,https://www.teamrankings.com/ncaa-basketball/team/central-arkansas-bears
266,IPFW,13.3,13.0,13.0,12.5,13.9,13.5,https://www.teamrankings.com/ncaa-basketball/team/purdue-fort-wayne-mastodons
268,Nicholls,13.3,11.0,13.0,12.2,13.9,12.6,https://www.teamrankings.com/ncaa-basketball/team/nicholls-state-colonels
269,Memphis,13.3,11.0,8.0,14.2,12.7,16.0,https://www.teamrankings.com/ncaa-basketball/team/memphis-tigers
270,VCU,13.4,10.7,14.0,14.1,12.6,15.1,https://www.teamrankings.com/ncaa-basketball/team/vcu-rams
270,Arizona,13.4,13.3,13.0,13.8,13.0,13.4,https://www.teamrankings.com/ncaa-basketball/team/arizona-wildcats
272,Oklahoma,13.4,11.7,9.0,13.7,13.1,14.7,https://www.teamrankings.com/ncaa-basketball/team/oklahoma-sooners
273,Bucknell,13.4,9.0,9.0,12.9,13.7,13.5,https://www.teamrankings.com/ncaa-basketball/team/bucknell-bison
274,Sac State,13.4,15.0,15.0,13.4,13.4,11.1,https://www.teamrankings.com/ncaa-basketball/team/sacramento-state-hornets
275,Jksnville St,13.4,12.3,13.0,12.5,14.0,13.2,https://www.teamrankings.com/ncaa-basketball/team/jacksonville-st-gamecocks
276,Stonehill,13.4,10.7,15.0,12.3,14.0,--,https://www.teamrankings.com/ncaa-basketball/team/stonehill-skyhawks
277,Norfolk St,13.4,11.7,6.0,15.1,12.8,14.1,https://www.teamrankings.com/ncaa-basketball/team/norfolk-state-spartans
278,Oregon St,13.5,11.3,12.0,13.2,13.7,12.5,https://www.teamrankings.com/ncaa-basketball/team/oregon-st-beavers
279,E Illinois,13.5,14.0,11.0,13.1,13.8,16.1,https://www.teamrankings.com/ncaa-basketball/team/eastern-illinois-panthers
280,Fordham,13.5,11.3,8.0,13.1,14.1,13.2,https://www.teamrankings.com/ncaa-basketball/team/fordham-rams
281,Bryant,13.5,12.7,14.0,12.2,14.4,13.9,https://www.teamrankings.com/ncaa-basketball/team/bryant-bulldogs
282,Harvard,13.5,9.3,12.0,13.5,13.5,12.2,https://www.teamrankings.com/ncaa-basketball/team/harvard-crimson
283,Cal Poly,13.5,13.7,12.0,12.9,14.2,14.9,https://www.teamrankings.com/ncaa-basketball/team/cal-poly-slo-mustangs
284,Temple,13.6,12.3,15.0,12.3,14.9,12.6,https://www.teamrankings.com/ncaa-basketball/team/temple-owls
285,Presbyterian,13.6,14.0,14.0,13.4,13.7,13.4,https://www.teamrankings.com/ncaa-basketball/team/presbyterian-blue-hose
286,Loyola-MD,13.6,9.7,12.0,13.1,13.9,13.0,https://www.teamrankings.com/ncaa-basketball/team/loyola-md-greyhounds
287,Manhattan,13.6,12.3,12.0,12.4,14.6,14.4,https://www.teamrankings.com/ncaa-basketball/team/manhattan-jaspers
288,Seton Hall,13.6,10.3,6.0,13.9,13.3,12.2,https://www.teamrankings.com/ncaa-basketball/team/seton-hall-pirates
289,James Mad,13.6,10.0,7.0,12.8,14.2,12.5,https://www.teamrankings.com/ncaa-basketball/team/james-madison-dukes
290,Miami (OH),13.6,10.3,12.0,14.5,12.6,10.4,https://www.teamrankings.com/ncaa-basketball/team/miami-oh-redhawks
291,LA Tech,13.6,14.0,11.0,13.2,14.0,11.7,https://www.teamrankings.com/ncaa-basketball/team/louisiana-tech-bulldogs
291,UTSA,13.6,12.7,10.0,12.6,14.9,12.2,https://www.teamrankings.com/ncaa-basketball/team/texas-san-antonio-roadrunners
293,E Washingtn,13.6,12.7,13.0,13.8,13.5,13.1,https://www.teamrankings.com/ncaa-basketball/team/eastern-washington-eagles
294,S Florida,13.7,11.3,14.0,13.0,14.5,12.5,https://www.teamrankings.com/ncaa-basketball/team/south-florida-bulls
295,Texas Tech,13.7,11.7,15.0,13.8,13.7,13.5,https://www.teamrankings.com/ncaa-basketball/team/texas-tech-red-raiders
296,Geo Mason,13.7,13.7,15.0,12.4,14.9,12.2,https://www.teamrankings.com/ncaa-basketball/team/george-mason-patriots
297,Lindenwood,13.8,15.3,18.0,12.9,14.2,--,https://www.teamrankings.com/ncaa-basketball/team/lindenwood-lions
297,Pepperdine,13.8,13.0,13.0,13.4,14.1,14.6,https://www.teamrankings.com/ncaa-basketball/team/pepperdine-waves
299,Mt St Marys,13.8,14.7,13.0,13.9,13.7,13.1,https://www.teamrankings.com/ncaa-basketball/team/mount-st-marys-mountaineers
300,Prairie View,13.8,11.3,11.0,13.5,14.0,17.4,https://www.teamrankings.com/ncaa-basketball/team/prairie-view-am-panthers
301,S Utah,13.8,15.0,22.0,13.1,14.2,12.3,https://www.teamrankings.com/ncaa-basketball/team/southern-utah-thunderbirds
302,Alabama,13.8,11.0,14.0,12.7,14.6,14.5,https://www.teamrankings.com/ncaa-basketball/team/alabama-crimson-tide
303,San Francisco,13.8,13.0,8.0,14.7,13.1,12.7,https://www.teamrankings.com/ncaa-basketball/team/san-francisco-dons
304,Kansas St,13.9,8.3,12.0,12.6,14.9,11.5,https://www.teamrankings.com/ncaa-basketball/team/kansas-state-wildcats
305,Lg Beach St,13.9,15.0,14.0,14.1,13.7,12.8,https://www.teamrankings.com/ncaa-basketball/team/long-beach-st-beach
306,Incar Word,13.9,12.7,15.0,12.7,14.6,13.7,https://www.teamrankings.com/ncaa-basketball/team/incarnate-word-cardinals
307,Winthrop,13.9,9.3,12.0,12.7,14.7,14.8,https://www.teamrankings.com/ncaa-basketball/team/winthrop-eagles
308,Mass Lowell,13.9,13.0,13.0,13.0,14.8,12.5,https://www.teamrankings.com/ncaa-basketball/team/massachusetts-lowell-river-hawks
309,High Point,14.0,9.0,11.0,12.7,15.0,13.5,https://www.teamrankings.com/ncaa-basketball/team/high-point-panthers
310,WI-Grn Bay,14.0,10.7,6.0,14.0,14.0,12.9,https://www.teamrankings.com/ncaa-basketball/team/green-bay-phoenix
311,NC-Asheville,14.0,11.3,16.0,14.4,13.8,12.7,https://www.teamrankings.com/ncaa-basketball/team/unc-asheville-bulldogs
312,Washington,14.0,11.3,11.0,12.9,15.4,11.9,https://www.teamrankings.com/ncaa-basketball/team/washington-huskies
312,St Johns,14.0,18.3,22.0,13.8,14.2,11.9,https://www.teamrankings.com/ncaa-basketball/team/st-johns-red-storm
312,American,14.0,11.7,9.0,13.2,14.6,13.3,https://www.teamrankings.com/ncaa-basketball/team/american-eagles
315,Utah Valley,14.0,14.0,15.0,13.7,14.2,15.2,https://www.teamrankings.com/ncaa-basketball/team/utah-valley-wolverines
316,TX-Arlington,14.0,11.0,7.0,13.4,14.4,13.9,https://www.teamrankings.com/ncaa-basketball/team/texas-arlington-mavericks
317,St Fran (NY),14.1,14.7,12.0,13.7,14.4,12.2,
318,Chicago St,14.1,13.7,13.0,12.8,14.3,14.8,https://www.teamrankings.com/ncaa-basketball/team/chicago-st-cougars
319,Rhode Island,14.1,12.3,9.0,14.6,13.6,14.1,https://www.teamrankings.com/ncaa-basketball/team/rhode-island-rams
320,Oklahoma St,14.1,13.0,11.0,13.8,14.4,15.1,https://www.teamrankings.com/ncaa-basketball/team/oklahoma-state-cowboys
321,Columbia,14.2,15.0,16.0,14.6,13.8,15.2,https://www.teamrankings.com/ncaa-basketball/team/columbia-lions
322,Buffalo,14.2,10.7,12.0,14.4,14.1,13.4,https://www.teamrankings.com/ncaa-basketball/team/buffalo-bulls
323,U Mass,14.3,19.0,20.0,12.7,15.6,11.6,https://www.teamrankings.com/ncaa-basketball/team/massachusetts-minutemen
324,Monmouth,14.3,16.0,18.0,12.2,15.7,11.7,https://www.teamrankings.com/ncaa-basketball/team/monmouth-nj-hawks
325,BYU,14.3,12.0,9.0,14.0,14.6,12.8,https://www.teamrankings.com/ncaa-basketball/team/brigham-young-cougars
325,Merrimack,14.3,11.3,8.0,13.9,14.7,11.8,https://www.teamrankings.com/ncaa-basketball/team/merrimack-warriors
327,N Illinois,14.3,14.0,17.0,13.8,14.6,13.7,https://www.teamrankings.com/ncaa-basketball/team/northern-illinois-huskies
328,Dartmouth,14.3,13.7,18.0,14.1,14.5,11.7,https://www.teamrankings.com/ncaa-basketball/team/dartmouth-big-green
329,Grambling St,14.4,13.0,13.0,12.6,15.2,14.1,https://www.teamrankings.com/ncaa-basketball/team/grambling-state-tigers
330,Northeastrn,14.4,13.0,16.0,13.8,14.8,14.0,https://www.teamrankings.com/ncaa-basketball/team/northeastern-huskies
331,Lamar,14.4,15.3,16.0,13.8,14.9,14.5,https://www.teamrankings.com/ncaa-basketball/team/lamar-cardinals
332,Illinois St,14.6,15.3,17.0,14.4,14.7,13.8,https://www.teamrankings.com/ncaa-basketball/team/illinois-st-redbirds
333,TX Southern,14.6,14.3,14.0,14.6,14.6,14.9,https://www.teamrankings.com/ncaa-basketball/team/texas-southern-tigers
334,UC Davis,14.7,15.7,17.0,14.0,15.2,12.2,https://www.teamrankings.com/ncaa-basketball/team/uc-davis-aggies
335,McNeese St,14.7,15.7,15.0,13.8,15.6,16.4,https://www.teamrankings.com/ncaa-basketball/team/mcneese-st-cowboys
336,Florida Intl,14.8,12.7,14.0,14.8,14.8,14.0,https://www.teamrankings.com/ncaa-basketball/team/florida-international-panthers
337,Southern,14.8,13.0,13.0,12.9,15.7,14.7,https://www.teamrankings.com/ncaa-basketball/team/southern-jaguars
337,Denver,14.8,17.3,15.0,14.3,15.2,12.8,https://www.teamrankings.com/ncaa-basketball/team/denver-pioneers
339,Coppin St,14.9,15.3,14.0,15.9,14.5,14.4,https://www.teamrankings.com/ncaa-basketball/team/coppin-st-eagles
340,Alab A&M,14.9,19.0,18.0,14.1,15.6,13.6,https://www.teamrankings.com/ncaa-basketball/team/alabama-am-bulldogs
341,Louisville,14.9,11.0,9.0,15.0,14.9,12.2,https://www.teamrankings.com/ncaa-basketball/team/louisville-cardinals
342,Loyola-Chi,15.0,11.7,15.0,12.3,17.2,12.3,https://www.teamrankings.com/ncaa-basketball/team/loyola-chicago-ramblers
343,Hartford,15.0,17.0,17.0,16.5,13.6,12.2,
343,Maryland ES,15.0,15.3,15.0,15.2,14.9,15.5,https://www.teamrankings.com/ncaa-basketball/team/maryland-eastern-shore-hawks
345,Utah Tech,15.2,15.3,17.0,16.2,14.6,15.3,https://www.teamrankings.com/ncaa-basketball/team/utah-tech-trailblazers
346,Ste F Austin,15.3,16.3,10.0,14.3,16.1,15.9,https://www.teamrankings.com/ncaa-basketball/team/stephen-f-austin-lumberjacks
347,Ark Pine Bl,15.3,12.7,10.0,16.3,14.8,13.5,https://www.teamrankings.com/ncaa-basketball/team/arkansas-pine-bluff-golden-lions
348,Hsn Christian,15.4,17.3,15.0,14.3,16.3,14.9,https://www.teamrankings.com/ncaa-basketball/team/houston-christian-huskies
349,Jackson St,15.5,15.7,12.0,13.6,16.2,13.2,https://www.teamrankings.com/ncaa-basketball/team/jackson-state-tigers
350,S Car State,15.5,19.7,20.0,17.7,14.5,14.8,https://www.teamrankings.com/ncaa-basketball/team/south-carolina-state-bulldogs
351,WI-Milwkee,15.7,13.3,20.0,15.9,15.6,13.3,https://www.teamrankings.com/ncaa-basketball/team/milwaukee-panthers
352,Central Mich,15.8,14.7,10.0,16.0,15.6,13.6,https://www.teamrankings.com/ncaa-basketball/team/central-michigan-chippewas
353,IUPUI,15.8,13.3,13.0,15.9,15.8,16.4,https://www.teamrankings.com/ncaa-basketball/team/iupui-jaguars
354,TX El Paso,15.9,17.0,13.0,15.8,16.1,11.4,https://www.teamrankings.com/ncaa-basketball/team/texas-el-paso-miners
355,NC Central,15.9,14.0,16.0,16.9,15.3,16.9,https://www.teamrankings.com/ncaa-basketball/team/north-carolina-central-eagles
356,Florida A&M,15.9,17.3,16.0,16.3,15.7,12.6,https://www.teamrankings.com/ncaa-basketball/team/florida-am-rattlers
357,Miss Val St,16.1,16.0,16.0,13.6,17.2,13.4,https://www.teamrankings.com/ncaa-basketball/team/mississippi-valley-state-delta-devils
358,Morgan St,16.2,18.7,23.0,12.8,17.7,15.8,https://www.teamrankings.com/ncaa-basketball/team/morgan-st-bears
359,Howard,16.3,18.0,18.0,16.8,16.0,15.0,https://www.teamrankings.com/ncaa-basketball/team/howard-bison
360,Delaware St,16.3,17.7,17.0,15.4,16.8,18.2,https://www.teamrankings.com/ncaa-basketball/team/delaware-state-hornets
361,TX-Pan Am,16.5,15.7,16.0,15.6,17.2,15.1,https://www.teamrankings.com/ncaa-basketball/team/texas-rio-grande-valley-vaqueros
362,LIU,16.6,19.0,19.0,15.4,17.4,13.6,https://www.teamrankings.com/ncaa-basketball/team/liu-sharks
363,New Orleans,17.1,14.7,15.0,16.3,17.8,14.5,https://www.teamrankings.com/ncaa-basketball/team/new-orleans-privateers
