Rank,Team,2022,Last 3,Last 1,Home,Away,2021,More
48,Youngs St,10.9,10.7,8.0,9.5,12.2,11.7,https://www.teamrankings.com/ncaa-basketball/team/youngstown-st-penguins
49,Murray St,11.0,9.7,9.0,10.9,11.1,11.6,https://www.teamrankings.com/ncaa-basketball/team/murray-st-racers
50,Clemson,11.0,10.7,7.0,10.5,11.6,11.0,https://www.teamrankings.com/ncaa-basketball/team/clemson-tigers
51,Hampton,11.1,13.7,17.0,9.4,12.1,12.6,https://www.teamrankings.com/ncaa-basketball/team/hampton-pirates
52,N Alabama,11.1,12.3,16.0,9.5,11.9,12.0,https://www.teamrankings.com/ncaa-basketball/team/north-alabama-lions
53,Miami,11.1,9.0,9.0,11.2,11.0,9.5,https://www.teamrankings.com/ncaa-basketball/team/miami-hurricanes
54,Purdue,11.1,10.0,16.0,10.4,11.6,11.8,https://www.teamrankings.com/ncaa-basketball/team/purdue-boilermakers
55,Montana,11.1,11.7,15.0,9.9,11.9,10.5,https://www.teamrankings.com/ncaa-basketball/team/montana-grizzlies
56,Pittsburgh,11.1,10.3,9.0,11.4,10.9,13.6,https://www.teamrankings.com/ncaa-basketball/team/pittsburgh-panthers
57,Missouri,11.1,7.3,7.0,11.7,10.5,14.6,https://www.teamrankings.com/ncaa-basketball/team/missouri-tigers
58,N Kentucky,11.2,6.7,7.0,12.1,10.4,13.2,https://www.teamrankings.com/ncaa-basketball/team/northern-kentucky-norse
58,UCSB,11.2,9.0,14.0,10.4,11.7,13.0,https://www.teamrankings.com/ncaa-basketball/team/uc-santa-barbara-gauchos
60,Yale,11.2,11.7,11.0,10.0,11.7,12.9,https://www.teamrankings.com/ncaa-basketball/team/yale-bulldogs
61,Colorado St,11.2,11.7,10.0,9.4,12.8,10.1,https://www.teamrankings.com/ncaa-basketball/team/colorado-st-rams
61,Delaware,11.2,7.0,7.0,11.0,11.3,12.5,https://www.teamrankings.com/ncaa-basketball/team/delaware-blue-hens
63,Akron,11.2,14.0,18.0,10.4,11.9,11.3,https://www.teamrankings.com/ncaa-basketball/team/akron-zips
64,Florida,11.2,14.0,18.0,11.4,11.1,12.4,https://www.teamrankings.com/ncaa-basketball/team/florida-gators
64,Boise St,11.2,9.7,9.0,11.5,11.1,12.1,https://www.teamrankings.com/ncaa-basketball/team/boise-st-broncos
66,Old Dominion,11.3,12.3,11.0,10.5,12.1,12.2,https://www.teamrankings.com/ncaa-basketball/team/old-dominion-monarchs
67,Ohio,11.3,11.7,17.0,9.9,12.3,10.6,https://www.teamrankings.com/ncaa-basketball/team/ohio-bobcats
68,Navy,11.3,7.7,7.0,9.7,12.7,12.9,https://www.teamrankings.com/ncaa-basketball/team/navy-midshipmen
69,Kent St,11.3,9.0,9.0,11.5,11.2,12.4,https://www.teamrankings.com/ncaa-basketball/team/kent-st-golden-flashes
70,San Diego,11.3,11.3,9.0,10.9,11.7,12.6,https://www.teamrankings.com/ncaa-basketball/team/san-diego-toreros
71,Tulane,11.3,12.7,15.0,11.6,11.1,10.5,https://www.teamrankings.com/ncaa-basketball/team/tulane-green-wave
72,New Mexico,11.3,10.3,9.0,11.1,11.7,11.6,https://www.teamrankings.com/ncaa-basketball/team/new-mexico-lobos
73,Marshall,11.4,10.0,7.0,11.3,11.5,13.2,https://www.teamrankings.com/ncaa-basketball/team/marshall-thundering-herd
74,Princeton,11.4,8.3,5.0,11.5,11.2,10.1,https://www.teamrankings.com/ncaa-basketball/team/princeton-tigers
75,North Dakota,11.4,11.3,15.0,12.0,10.9,12.1,https://www.teamrankings.com/ncaa-basketball/team/north-dakota-fighting-hawks
