Rank,Team,2022,Last 3,Last 1,Home,Away,2021
205,Maine,12.6,14.7,15.0,10.7,13.6,12.8
206,St Fran (PA),12.6,7.7,12.0,12.2,12.9,12.5
207,Alcorn St,12.6,14.0,11.0,12.1,12.8,14.1
207,St Bonavent,12.6,15.0,12.0,11.5,13.6,10.3
209,TX A&M-CC,12.6,10.3,6.0,12.7,12.6,14.2
209,Neb Omaha,12.6,10.7,13.0,12.6,12.7,13.8
211,Nebraska,12.7,12.3,8.0,12.1,13.2,12.6
212,Quinnipiac,12.7,9.3,8.0,13.1,12.5,12.9
212,Wright St,12.7,10.3,8.0,12.9,12.6,12.3
214,Arkansas,12.7,10.7,10.0,12.6,12.9,12.2
215,IL-Chicago,12.7,10.7,7.0,13.4,12.2,12.0
215,Valparaiso,12.7,14.7,19.0,12.1,13.2,11.2
217,St Josephs,12.8,10.7,13.0,13.1,12.5,13.5
218,Loyola Mymt,12.8,10.7,13.0,13.1,12.4,13.0
219,CS Bakersfld,12.8,11.7,13.0,12.2,13.2,11.6
219,Weber St,12.8,12.0,15.0,12.1,13.1,11.6
221,W Michigan,12.8,10.3,8.0,13.0,12.6,13.6
222,Troy,12.8,8.7,10.0,13.6,12.3,15.2
223,Stony Brook,12.8,14.0,12.0,12.0,13.3,10.7
224,Cal St Nrdge,12.9,13.7,15.0,13.5,12.4,12.3
225,Portland,12.9,10.7,7.0,11.7,14.0,13.1
226,Rice,12.9,12.3,5.0,12.8,12.9,12.7
227,Miss State,12.9,15.3,14.0,11.8,14.0,13.1
228,Connecticut,12.9,12.0,13.0,12.4,13.3,11.8
229,S Methodist,12.9,14.3,14.0,12.8,13.0,12.3
229,TX A&M-Com,12.9,12.0,8.0,11.3,13.5,18.5
231,Illinois,12.9,13.0,17.0,12.6,13.2,12.4
232,Minnesota,12.9,13.7,15.0,12.5,13.5,9.2
233,DePaul,12.9,12.3,14.0,13.0,12.9,12.3
233,Iowa St,12.9,14.7,8.0,11.7,14.1,13.8
235,W Virginia,12.9,11.3,12.0,12.0,13.9,12.4
236,N Mex State,13.0,13.0,11.0,14.1,12.4,14.2
237,U Penn,13.0,11.3,9.0,12.4,13.5,11.8
238,E Tenn St,13.0,10.3,8.0,13.4,12.6,11.2
238,Alabama St,13.0,15.7,16.0,13.7,12.7,15.4
238,Beth-Cook,13.0,12.3,13.0,11.3,13.9,13.4
241,SE Missouri,13.0,11.0,12.0,11.6,13.6,13.1
242,California,13.0,11.0,11.0,13.2,12.8,11.2
243,Middle Tenn,13.0,11.3,8.0,11.9,13.7,13.1
243,Army,13.0,10.7,16.0,11.8,13.9,13.2
245,S Indiana,13.0,11.0,9.0,12.1,13.6,--
246,Albany,13.0,13.3,16.0,12.6,13.3,12.4
246,VMI,13.0,6.7,3.0,13.1,13.0,11.8
248,Kansas City,13.1,12.0,10.0,12.0,13.8,10.7
249,Binghamton,13.1,11.3,13.0,12.3,13.7,12.7
250,SC Upstate,13.1,8.3,7.0,13.7,12.7,13.1
251,Siena,13.1,10.0,10.0,12.3,13.7,12.6
252,Rob Morris,13.1,10.0,15.0,13.2,13.1,14.2
253,SIU Edward,13.1,11.3,11.0,13.3,13.1,15.3
253,Sam Hous St,13.1,9.0,9.0,14.2,12.7,12.2
255,S Carolina,13.2,13.3,10.0,12.1,14.1,15.5
256,E Carolina,13.2,14.3,17.0,12.1,14.2,13.0
257,AR Lit Rock,13.2,15.0,15.0,12.5,13.6,13.8
257,Gard-Webb,13.2,16.3,17.0,12.1,13.9,13.7
259,Georgia,13.2,13.0,11.0,13.5,12.9,14.4
260,Colorado,13.2,12.3,12.0,11.9,14.6,13.5
261,Tulsa,13.2,13.0,11.0,14.1,12.4,12.8
262,Georgia St,13.3,10.0,8.0,13.4,13.0,11.5
262,Sacred Hrt,13.3,13.0,18.0,12.4,13.9,13.6
264,UCF,13.3,15.7,13.0,12.3,14.3,13.0
265,Brown,13.3,12.0,14.0,12.6,13.9,13.2
266,Central Ark,13.3,14.0,12.0,12.2,14.1,13.9
266,IPFW,13.3,13.0,13.0,12.5,13.9,13.5
268,Nicholls,13.3,11.0,13.0,12.2,13.9,12.6
269,Memphis,13.3,11.0,8.0,14.2,12.7,16.0
270,VCU,13.4,10.7,14.0,14.1,12.6,15.1
270,Arizona,13.4,13.3,13.0,13.8,13.0,13.4
272,Oklahoma,13.4,11.7,9.0,13.7,13.1,14.7
273,Bucknell,13.4,9.0,9.0,12.9,13.7,13.5
274,Sac State,13.4,15.0,15.0,13.4,13.4,11.1
275,Jksnville St,13.4,12.3,13.0,12.5,14.0,13.2
276,Stonehill,13.4,10.7,15.0,12.3,14.0,--
277,Norfolk St,13.4,11.7,6.0,15.1,12.8,14.1
278,Oregon St,13.5,11.3,12.0,13.2,13.7,12.5
279,E Illinois,13.5,14.0,11.0,13.1,13.8,16.1
280,Fordham,13.5,11.3,8.0,13.1,14.1,13.2
281,Bryant,13.5,12.7,14.0,12.2,14.4,13.9
282,Harvard,13.5,9.3,12.0,13.5,13.5,12.2
283,Cal Poly,13.5,13.7,12.0,12.9,14.2,14.9
284,Temple,13.6,12.3,15.0,12.3,14.9,12.6
285,Presbyterian,13.6,14.0,14.0,13.4,13.7,13.4
286,Loyola-MD,13.6,9.7,12.0,13.1,13.9,13.0
287,Manhattan,13.6,12.3,12.0,12.4,14.6,14.4
288,Seton Hall,13.6,10.3,6.0,13.9,13.3,12.2
289,James Mad,13.6,10.0,7.0,12.8,14.2,12.5
290,Miami (OH),13.6,10.3,12.0,14.5,12.6,10.4
291,UTSA,13.6,12.7,10.0,12.6,14.9,12.2
291,LA Tech,13.6,14.0,11.0,13.2,14.0,11.7
293,E Washingtn,13.6,12.7,13.0,13.8,13.5,13.1
294,S Florida,13.7,11.3,14.0,13.0,14.5,12.5
295,Texas Tech,13.7,11.7,15.0,13.8,13.7,13.5
296,Geo Mason,13.7,13.7,15.0,12.4,14.9,12.2
297,Pepperdine,13.8,13.0,13.0,13.4,14.1,14.6
297,Lindenwood,13.8,15.3,18.0,12.9,14.2,--
299,Mt St Marys,13.8,14.7,13.0,13.9,13.7,13.1
300,Prairie View,13.8,11.3,11.0,13.5,14.0,17.4
301,S Utah,13.8,15.0,22.0,13.1,14.2,12.3
302,Alabama,13.8,11.0,14.0,12.7,14.6,14.5
303,San Francisco,13.8,13.0,8.0,14.7,13.1,12.7
304,Kansas St,13.9,8.3,12.0,12.6,14.9,11.5
305,Lg Beach St,13.9,15.0,14.0,14.1,13.7,12.8
306,Incar Word,13.9,12.7,15.0,12.7,14.6,13.7
307,Winthrop,13.9,9.3,12.0,12.7,14.7,14.8
